,id,sequence,sitzung,speaker,speaker_cleaned,speaker_fp,speaker_key,speaker_party,text,top,top_id,type,wahlperiode
519,118491,519,126,Alexander Ulrich [DIE LINKE],Alexander Ulrich,alexander-ulrich,315.0,linke,Fünf Minuten sind kurz!,TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,poi,18
520,118492,520,126,Roderich Kiesewetter (CDU/CSU),Roderich Kiesewetter,roderich-kiesewetter,200.0,cducsu,"Dadurch, dass wir als Bundesrepublik Deutschland an der nuklearen Teilhabe festhalten, verhindern wir, dass die Staaten in Osteuropa die NATO-Russland-Grundakte aufkündigen. In der NATO-Russland-Grundakte von 1997 ist eindeutig festgehalten: keine Stationierung von Nuklearwaffen in diesen Staaten. - Warum wollen wir das? Wir wollen keine Zone neuer Unsicherheit schaffen, sondern wir wollen, dass die Verlässlichkeit des amerikanischen Nuklearschirms konstant bleibt und wir nicht durch einen einseitigen Verzicht eine Diskussion innerhalb der NATO entfachen, wer dann in Europa die deutsche, die belgische, die niederländische, die italienische oder die türkische Rolle übernimmt. Ich glaube, hier muss uns sehr stark an Stabilität gelegen sein.",TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,speech,18
521,118493,521,126,,,,,,Beifall bei der CDU/CSU,TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,poi,18
522,118494,522,126,Roderich Kiesewetter (CDU/CSU),Roderich Kiesewetter,roderich-kiesewetter,200.0,cducsu,"Ein letzter Punkt: Es handelt sich um eine Modernisierung. Wie uns Parlamentariern es über die Medien zugänglich gemacht worden ist, haben die vorhandenen Nuklearwaffen ein bestimmtes Alter. Wer setzt denn auf Abschreckung oder auf verlässliche Rückversicherung, wenn die Waffen veraltet sind und dadurch möglicherweise sogar eine schädliche Wirkung in ihrem Umfeld entfalten? Das bedeutet, die Modernisierung stärkt die transatlantische Zusammenarbeit und unsere eigene Verlässlichkeit im Rahmen der nuklearen Teilhabe.

Ich möchte bewusst sehr sachlich unterstreichen - und dafür habe ich eine Reihe von Argumenten genannt, auf denen man aufbauen kann -: Mittelfristig halten wir alle am Ziel einer abnehmenden Bedeutung von Nuklearwaffen fest. Aber Russland belehrt uns zurzeit eines Besseren.

Herzlichen Dank für die Aufmerksamkeit.",TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,speech,18
523,118495,523,126,,,,,,Beifall bei der CDU/CSU,TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,poi,18
524,118496,524,126,Vizepräsidentin Claudia Roth,Claudia Roth,claudia-roth,426.0,,"Vielen Dank, Herr Kollege Kiesewetter. - Nächste Rednerin in der Debatte: Agnieszka Brugger für Bündnis 90/Die Grünen.",TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,chair,18
525,118497,525,126,Agnieszka Brugger (BÜNDNIS 90/DIE GRÜNEN),Agnieszka Brugger,agnieszka-brugger,75.0,gruene,"Frau Präsidentin! Meine Damen und Herren! 25 Jahre nach Ende des Kalten Krieges sind immer noch US-amerikanische Atomwaffen im Rahmen der nuklearen Teilhabe in der NATO in Büchel, in Rheinland-Pfalz, stationiert, und die Bundeswehr hält Trägermittel - Tornados - bereit, um diese Waffen im Ernstfall abzuwerfen. Wir sagen als Grüne nicht erst seit heute: Es ist höchste Zeit, dass diese Waffen abgezogen werden.",TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,speech,18
526,118498,526,126,,,,,,Beifall beim BÜNDNIS 90/DIE GRÜNEN sowie bei Abgeordneten der LINKEN,TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,poi,18
527,118499,527,126,Agnieszka Brugger (BÜNDNIS 90/DIE GRÜNEN),Agnieszka Brugger,agnieszka-brugger,75.0,gruene,"Lieber Kollege Ulrich, wir sind Ihnen sehr dankbar, dass Sie als Linksfraktion das heute zum Thema machen. Wir Grüne haben in den letzten Jahren auch schon zahlreiche Anträge dazu gestellt. Bei Ihrer Rede haben wir nur teilweise geklatscht, weil nicht alles richtig war. Ich möchte Sie explizit darauf hinweisen, dass sich unsere grüne stellvertretende Ministerpräsidentin in Rheinland-Pfalz, Eveline Lemke, in dieser Frage sehr klar und deutlich positioniert hat.",TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,speech,18
528,118500,528,126,,,,,,Beifall beim BÜNDNIS 90/DIE GRÜNEN,TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,poi,18
529,118501,529,126,Agnieszka Brugger (BÜNDNIS 90/DIE GRÜNEN),Agnieszka Brugger,agnieszka-brugger,75.0,gruene,"Meine Damen und Herren, das Thema ist sehr aktuell. Vor Jahren hat Obama entschieden, dass das amerikanische Nuklearwaffenarsenal modernisiert werden soll, und die Anzeichen mehren sich, dass das jetzt in die Tat umgesetzt wird. Hinter dem netten und verharmlosenden Begriff „Lebensdauerverlängerung“, der in diesem Zusammenhang gebraucht wird, verbirgt sich ein milliardenschweres Aufrüstungsprogramm, von dem auch die in Büchel gelagerten Waffen betroffen sind. Das bedeutet in der Konsequenz, dass aus der Bombe B61 die noch präzisiere und gefährlichere Variante B61-12 wird. Infolge dessen müssen auch die Flugzeuge, die Tornados, für Millionen Euro umgerüstet werden. Sie werden länger in Betrieb gehalten, als es ursprünglich geplant war. Auch das kostet ordentlich Geld. Gleichzeitig sagen alle Experten - Herr Kiesewetter, hier werden Sie nicht widersprechen -, dass diese Waffen keinen militärischen Nutzen mehr haben.",TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,speech,18
530,118502,530,126,Roderich Kiesewetter [CDU/CSU],Roderich Kiesewetter,roderich-kiesewetter,200.0,cducsu,Das sind politische Waffen! Richtig!,TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,poi,18
531,118503,531,126,Agnieszka Brugger (BÜNDNIS 90/DIE GRÜNEN),Agnieszka Brugger,agnieszka-brugger,75.0,gruene,"Es ist doch naiv, zu glauben, dass, wenn diese Waffen für Unsummen modernisiert werden und die Trägermittel ebenfalls, es zu einem baldigen Abzug dieser Waffen kommen wird. Deshalb können wir die Bundesregierung nur auffordern: Ziehen Sie endlich die Notbremse!",TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,speech,18
532,118504,532,126,,,,,,Beifall beim BÜNDNIS 90/DIE GRÜNEN sowie bei Abgeordneten der LINKEN,TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,poi,18
